TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5	trial_end
1	1	3	1	0	1	0	0	0	0	0	1	5	2	1	1	0	0	0	0	0	1	7	3	1	1	0	2	1	0	0	110012001301.0	11_00,00_12,12_00,00_13,13_01	1.0	0.0	[]	3.0032132	4.489112	[]	4.9958477	6.478255	3	6.163212	[['3', 6.163211600156501]]	[]	9.959139	11.448005	3	11.095763	[['3', 11.095762900076807]]	[]	14.936344	16.415033	3	15.819688	[['3', 15.819688000017777]]	[]	19.90121	21.389915	3	20.822407	[['3', 20.822407600004226]]	[]	24.876463	26.359543	3	25.608532	[['3', 25.608531899983063]]	--
2	0	7	3	1	1	1	1	0	0	1	0	7	3	1	1	1	3	1	0	1	0	7	3	1	1	1	5	2	1	1	31003110312.0	03_10,10_03,03_11,11_03,03_12	1.0	1.0	[]	29.839909	31.327755	[]	31.836372	33.318314	3	33.218636	[['3', 33.218636400066316]]	[]	36.799908	38.289078	3	37.53756	[['3', 37.53756089997478]]	[]	41.776375	43.259277	3	42.64665	[['3', 42.646647500107065]]	[]	46.740837	48.22431	3	47.375366	[['3', 47.37536700000055]]	[]	51.7151	53.198364	3	52.521477	[['3', 52.52147709997371]]	--
3	0	2	1	0	0	1	1	0	0	1	0	2	1	0	0	1	2	1	0	0	0	2	1	0	0	1	5	2	1	1	11001110112.0	01_10,10_01,01_11,11_01,01_12	1.0	2.0	[]	56.68132	58.16925	[]	58.67463	60.157307	3	59.9297	[['3', 59.92969899997115]]	[]	63.643032	65.129456	3	64.246124	[['3', 64.24612050014548]]	[]	68.61112	70.098236	3	69.43006	[['3', 69.43006410007365]]	[]	73.58515	75.06446	3	74.41133	[['3', 74.41133150015958]]	[]	78.55153	80.03917	3	79.47861	[['3', 79.47860760008916]]	--
4	1	5	2	1	1	0	7	3	1	1	1	6	3	1	0	1	0	0	0	0	1	0	0	0	0	1	3	1	0	1	120313101011.0	12_03,03_13,13_10,10_10,10_11	1.0	3.0	[]	83.517365	85.00926	[]	85.51504	86.996895	3	86.4217	[['3', 86.42170129995793]]	[]	90.48188	91.968216	3	91.21705	[['3', 91.21704980009235]]	[]	95.45202	96.93993	2	96.61131	[['2', 96.61131320009008]]	[]	100.41998	101.90908	2	101.277916	[['2', 101.277917600004]]	[]	105.39029	106.87791	2	106.19455	[['2', 106.19455010001548]]	--
5	0	0	0	0	0	0	7	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	1	300100011.0	00_03,03_00,00_10,10_00,00_11	1.0	4.0	[]	110.36394	111.8488	[]	112.3508	113.83913	2	113.18093	[['2', 113.1809294000268]]	[]	117.32407	118.80973	2	118.0805	[['2', 118.08049740013666]]	[]	122.2905	123.777885	3	123.1057	[['3', 123.10569979995489]]	[]	127.26537	128.74832	3	128.34602	[['3', 128.34602900012396]]	[]	132.23166	133.71863	3	133.10666	[['3', 133.10665880003944]]	--
6	0	7	3	1	1	0	5	2	1	1	1	0	0	0	0	0	4	2	1	0	1	3	1	0	1	0	5	2	1	1	30210021102.0	03_02,02_10,10_02,02_11,11_02	1.0	5.0	[]	137.20032	138.6896	[]	139.195	140.6792	2	140.00175	[['2', 140.00176140014082]]	[]	144.15602	145.6484	3	144.99304	[['3', 144.99303809995763]]	[]	149.13487	150.61423	3	150.02196	[['3', 150.02196330018342]]	[]	154.10144	155.58896	3	155.01373	[['3', 155.01373730017804]]	[]	159.07458	160.5586	3	159.82378	[['3', 159.82377520017326]]	--
7	0	5	2	1	1	1	4	2	1	0	0	4	2	1	0	1	7	3	1	1	0	7	3	1	1	0	6	3	1	0	21202130303.0	02_12,12_02,02_13,13_03,03_03	1.0	6.0	[]	164.04121	165.52846	[]	166.03061	167.5188	3	167.2938	[['3', 167.29379070014693]]	[]	171.00449	172.48814	3	172.38463	[['3', 172.38462910009548]]	[]	175.97179	177.45447	3	176.68527	[['3', 176.6852778000757]]	[]	180.94566	182.42828	3	181.5324	[['3', 181.53239140007645]]	[]	185.91089	187.40012	2	186.72844	[['2', 186.7284324001521]]	--
8	0	2	1	0	0	0	3	1	0	1	0	4	2	1	0	0	3	1	0	1	0	7	3	1	1	0	2	1	0	0	10102010301.0	01_01,01_02,02_01,01_03,03_01	1.0	7.0	[]	190.8803	192.36438	[]	192.87054	194.35963	2	194.18384	[['2', 194.18383190012537]]	[]	197.84004	199.3292	2	198.39308	[['2', 198.39308830001391]]	[]	202.81519	204.29843	2	203.4266	[['2', 203.42659840011038]]	[]	207.78162	209.26794	2	208.46614	[['2', 208.46614499995485]]	[]	212.74963	214.23956	2	213.67444	[['2', 213.67444319999777]]	--
9	0	1	0	0	1	0	0	0	0	0	0	3	1	0	1	0	1	0	0	1	0	4	2	1	0	0	1	0	0	1	1000200.0	00_00,00_01,01_00,00_02,02_00	1.0	8.0	[]	217.72208	219.20865	[]	219.71767	221.1984	2	221.14532	[['2', 221.14532930008136]]	[]	224.68166	226.16803	2	225.47643	[['2', 225.4764267001301]]	[]	229.65013	231.13936	2	230.17145	[['2', 230.17145100003108]]	[]	234.62273	236.10728	2	235.35342	[['2', 235.35341700003482]]	[]	239.5913	241.0794	2	240.6049	[['2', 240.6049040001817]]	244.48773970012553
10	1	4	2	1	0	0	3	1	0	1	1	6	3	1	0	0	4	2	1	0	0	5	2	1	1	0	6	3	1	0	120113020203.0	12_01,01_13,13_02,02_02,02_03	0.0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
