TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	0.0	[]	3.0040083	4.488811	[]	6.236305	7.7187986	[]	11.199233	12.6891	3	11.91935	[['3', 11.919349599862471]]
2	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	1.0	[]	17.424253	18.90722	[]	20.64943	22.138895	[]	25.622967	27.107586	3	26.310354	[['3', 26.310353999957442]]
3	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	2.0	[]	31.843935	33.32937	[]	35.068535	36.559826	[]	40.045452	41.526592	2	40.85398	[['2', 40.853979999898]]
4	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	3.0	[]	46.26289	47.74886	[]	49.495956	50.97681	[]	54.4567	55.94911	3	55.016563	[['3', 55.01656359992921]]
5	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	4.0	[]	60.687355	62.166973	[]	63.90683	65.398994	[]	68.87922	70.367226	3	69.76584	[['3', 69.76584009989165]]
6	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	5.0	[]	75.10434	76.58905	[]	78.330765	79.81434	[]	83.29792	84.78889	3	83.96465	[['3', 83.96465529990382]]
7	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	6.0	[]	89.52285	91.0076	[]	92.754814	94.239426	[]	97.72351	99.20764	2	98.529495	[['2', 98.52949479990639]]
8	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	7.0	[]	103.941055	105.42916	[]	107.172935	108.65782	[]	112.13979	113.6298	3	112.89049	[['3', 112.89048539986834]]
9	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	8.0	[]	118.36617	119.84834	[]	121.59091	123.078285	[]	126.5604	128.04913	3	127.36761	[['3', 127.36760959983803]]
10	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	9.0	[]	132.78441	134.26477	[]	136.00891	137.49873	[]	140.98537	142.46681	2	141.53355	[['2', 141.53355119982734]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.20085	148.68907	[]	150.43474	151.91878	[]	155.39851	156.88918	3	156.24092	[['3', 156.24092779983766]]
12	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	11.0	[]	161.6279	163.10866	[]	164.84993	166.3397	[]	169.82617	171.30798	3	170.54903	[['3', 170.54901980003342]]
13	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	12.0	[]	176.04271	177.52971	[]	179.27242	180.75845	[]	184.24063	185.72966	3	185.57518	[['3', 185.57517839991488]]
